campaign_id,campaign_name,channel,region,impressions,clicks,conversions,cost,revenue,start_date,end_date
25,Spring Promo,Twitter,Australia,373611,3753,352,2595.03,4807.7,2024-12-09,2024-12-12
26,Spring Promo,Instagram,Africa,224946,2705,196,3893.07,6450.14,2025-03-25,2025-04-03
27,Winter Blast,Twitter,North America,108528,3049,390,4967.08,9695.61,2025-02-28,2025-03-06
28,Winter Blast,Instagram,Asia,341697,4156,178,3960.47,13113.26,2024-10-26,2024-11-08
29,Winter Blast,Instagram,North America,350800,307,248,1069.07,1618.0,2024-08-01,2024-08-12
30,Summer Sale,Instagram,North America,255348,3524,36,4726.71,6332.83,2025-04-08,2025-04-17
31,Spring Promo,Facebook,Africa,226916,1068,92,1676.27,10561.85,2024-12-27,2025-01-10
32,Summer Sale,Facebook,Australia,325872,1893,158,1606.85,8970.66,2024-11-08,2024-11-20
33,Spring Promo,Instagram,North America,367184,4497,414,3024.54,6961.9,2025-02-05,2025-02-09
34,Winter Blast,Google Ads,Asia,134305,718,464,1921.31,2477.56,2024-12-10,2024-12-18
35,Mega Campaign,Instagram,Asia,357354,3495,410,737.72,7555.55,2024-09-15,2024-09-29
36,Autumn Deals,Facebook,Europe,163445,3572,372,1754.08,10968.6,2024-09-05,2024-09-17
37,Winter Blast,Twitter,Australia,475806,3500,33,1072.92,1287.56,2024-12-01,2024-12-04
38,Spring Promo,Twitter,Australia,338527,321,281,969.14,6977.05,2024-09-24,2024-10-03
39,Spring Promo,Google Ads,Asia,332207,683,181,2610.26,9605.65,2024-09-10,2024-09-24
40,Spring Promo,Twitter,Australia,393040,2682,151,1580.2,5194.27,2025-02-01,2025-02-13
41,Autumn Deals,LinkedIn,Africa,22845,2015,428,2485.49,12044.08,2024-06-22,2024-07-03
42,Mega Campaign,Instagram,South America,290910,4646,364,3488.84,12815.42,2024-10-28,2024-11-12
43,Autumn Deals,Facebook,South America,303712,2099,111,1620.53,9253.16,2024-09-27,2024-10-12
44,Spring Promo,Instagram,North America,90765,2761,176,4489.13,5267.97,2024-07-23,2024-07-30
45,Winter Blast,Google Ads,South America,135308,4680,44,1035.61,8036.05,2025-04-30,2025-05-05
46,Spring Promo,Instagram,South America,320641,3443,200,2534.67,2932.3,2024-11-29,2024-12-08
47,Mega Campaign,Instagram,North America,165718,1873,109,4376.96,12581.8,2025-02-09,2025-02-19
48,Mega Campaign,Instagram,Australia,210291,3358,18,3817.39,6678.97,2025-05-04,2025-05-09
49,Spring Promo,Instagram,Asia,214929,3991,317,2317.95,2868.7,2025-01-29,2025-02-06
50,Autumn Deals,Google Ads,Australia,367855,2866,141,4302.63,5204.5,2024-12-30,2025-01-06
51,Autumn Deals,Google Ads,Europe,3416,2436,87,4190.21,12782.1,2025-03-21,2025-03-27
52,Winter Blast,Twitter,North America,328152,4300,445,1016.17,2100.23,2024-06-12,2024-06-24
53,Autumn Deals,Google Ads,North America,237454,4473,157,615.61,4666.44,2024-09-29,2024-10-02
54,Winter Blast,LinkedIn,Africa,212775,4864,445,1911.65,5917.97,2025-03-17,2025-03-24
55,Summer Sale,Twitter,Africa,224003,791,406,2565.1,11936.63,2024-10-07,2024-10-22
56,Autumn Deals,Facebook,Africa,39225,3049,471,2127.98,10221.6,2024-08-01,2024-08-06
57,Winter Blast,Instagram,Australia,223521,4104,327,4775.0,12223.18,2025-04-28,2025-05-06
58,Summer Sale,Google Ads,South America,382188,2063,173,2656.64,5495.46,2025-01-18,2025-01-23
59,Summer Sale,Instagram,North America,385960,4267,100,1206.65,9165.33,2024-06-21,2024-07-01
60,Autumn Deals,Twitter,Africa,94769,2458,412,1035.58,4362.01,2024-07-19,2024-08-01
61,Autumn Deals,Instagram,Australia,2042,1288,288,4905.26,7437.14,2025-03-02,2025-03-17
62,Spring Promo,Twitter,South America,456403,213,115,3751.74,7022.08,2025-02-26,2025-03-08
63,Spring Promo,Google Ads,Europe,208232,3851,77,3553.36,12453.46,2025-02-22,2025-02-25
64,Winter Blast,LinkedIn,Asia,413859,449,440,2422.45,8693.85,2025-03-05,2025-03-10
65,Summer Sale,Google Ads,Africa,29500,4595,301,2267.54,7844.95,2024-08-28,2024-09-06
66,Winter Blast,LinkedIn,North America,288066,803,442,2156.59,8758.97,2024-09-25,2024-10-04
67,Winter Blast,Facebook,Africa,134837,438,10,3451.95,10042.93,2025-04-30,2025-05-14
68,Summer Sale,Facebook,Europe,73216,4156,330,3919.28,8345.41,2024-11-07,2024-11-15
69,Mega Campaign,Google Ads,Europe,212537,4945,185,3148.33,9237.03,2025-01-24,2025-02-05
70,Summer Sale,Facebook,Australia,444346,3406,184,4358.81,11968.02,2024-06-26,2024-07-09
71,Mega Campaign,LinkedIn,Australia,483451,1549,134,1257.35,7343.94,2024-07-13,2024-07-19
72,Summer Sale,Instagram,North America,304788,4020,373,1025.66,3130.29,2024-07-28,2024-08-06
73,Summer Sale,Instagram,South America,442336,2892,328,4526.9,10452.39,2024-12-10,2024-12-13
74,Winter Blast,LinkedIn,North America,27333,3400,495,4796.4,7084.38,2024-12-17,2024-12-30
75,Spring Promo,Twitter,Europe,181056,1722,93,718.48,6417.99,2025-02-19,2025-02-22
76,Spring Promo,Instagram,Australia,194146,3463,388,4845.96,12127.67,2025-01-16,2025-01-22
77,Mega Campaign,Google Ads,Australia,303283,2926,380,4340.94,8643.45,2024-06-17,2024-06-25
78,Spring Promo,Twitter,Europe,257957,4301,127,938.56,10379.21,2024-05-28,2024-06-11
79,Summer Sale,Facebook,Asia,41472,2943,101,713.84,2741.17,2025-02-24,2025-02-28
80,Mega Campaign,Twitter,Africa,286652,1235,72,2562.2,2800.0,2024-12-23,2024-12-30
81,Summer Sale,Instagram,North America,204410,923,27,3286.31,7910.15,2024-12-09,2024-12-23
82,Mega Campaign,LinkedIn,Australia,371747,760,175,1852.18,3883.7,2025-04-03,2025-04-18
83,Spring Promo,Instagram,North America,429148,3947,157,3365.1,12442.61,2024-07-26,2024-07-29
84,Summer Sale,LinkedIn,Africa,126649,3498,455,3596.12,4324.12,2024-06-25,2024-07-08
85,Spring Promo,Google Ads,South America,234981,4030,465,1334.05,10397.66,2025-04-11,2025-04-25
86,Spring Promo,Instagram,Europe,233297,3626,101,4748.81,14650.66,2024-09-06,2024-09-15
87,Autumn Deals,Facebook,North America,51955,152,55,2078.28,3950.25,2025-02-04,2025-02-12
88,Winter Blast,Google Ads,Europe,43712,3393,37,683.16,5957.62,2024-09-17,2024-09-21
89,Spring Promo,Google Ads,Australia,205330,1470,415,3872.47,5521.7,2024-10-10,2024-10-24
90,Mega Campaign,LinkedIn,Africa,123437,4215,9,3853.21,4909.59,2025-03-10,2025-03-17
91,Autumn Deals,Google Ads,North America,221125,1786,380,1603.7,5972.85,2024-09-02,2024-09-10
92,Autumn Deals,Google Ads,South America,206903,3891,73,2327.87,7122.93,2025-01-13,2025-01-27
93,Summer Sale,Instagram,Europe,379777,2668,392,3861.32,8071.07,2025-01-20,2025-01-24
94,Spring Promo,Facebook,South America,92821,4780,79,3542.24,4253.6,2025-03-13,2025-03-16
95,Spring Promo,Instagram,Australia,210697,4639,24,805.65,1143.52,2024-09-25,2024-10-10
96,Summer Sale,LinkedIn,Australia,192070,4036,301,3491.01,8908.17,2024-12-16,2024-12-23
97,Spring Promo,Twitter,Africa,431591,3269,129,4565.05,9815.34,2024-07-07,2024-07-17
98,Summer Sale,Instagram,Australia,418402,3537,141,3941.31,9151.05,2024-08-26,2024-09-10
99,Spring Promo,Instagram,Europe,269280,864,344,2271.48,4458.5,2024-05-09,2024-05-13
100,Summer Sale,Instagram,Africa,297352,2700,322,1705.45,5555.77,2024-12-04,2024-12-10
101,Winter Blast,Instagram,South America,134871,2102,370,571.41,9521.01,2025-03-26,2025-04-01
102,Spring Promo,Twitter,Asia,206226,4374,419,3540.21,9148.49,2025-04-29,2025-05-07
103,Summer Sale,Facebook,South America,339989,2630,430,3753.44,5153.67,2024-05-05,2024-05-18
104,Summer Sale,Google Ads,South America,49449,195,59,2662.79,6746.61,2024-10-26,2024-11-07
105,Mega Campaign,Google Ads,Europe,73780,4462,299,3590.95,13305.88,2024-06-06,2024-06-17
106,Mega Campaign,LinkedIn,North America,174598,4237,142,3281.08,11626.29,2025-01-09,2025-01-19
107,Spring Promo,Google Ads,Africa,221878,4994,463,627.45,7350.43,2025-04-02,2025-04-10
108,Spring Promo,Facebook,North America,214758,421,105,4141.12,13875.19,2024-06-05,2024-06-18
109,Spring Promo,Facebook,Europe,291959,114,59,4017.33,12822.0,2025-01-11,2025-01-18
110,Summer Sale,Twitter,Europe,476822,2077,469,3630.81,11198.18,2025-04-12,2025-04-19
111,Winter Blast,Instagram,North America,491582,1964,184,1832.45,2685.02,2025-04-19,2025-04-27
112,Spring Promo,Facebook,Europe,47436,2938,72,1071.39,10897.67,2024-06-09,2024-06-23
113,Spring Promo,Instagram,Australia,33311,614,266,3448.73,5687.13,2024-08-12,2024-08-18
114,Winter Blast,Instagram,Australia,335066,1025,99,3906.99,8085.22,2024-08-31,2024-09-15
115,Mega Campaign,Instagram,Asia,55096,274,26,3236.18,5241.3,2025-04-06,2025-04-16
116,Mega Campaign,LinkedIn,Australia,207849,51,26,1070.46,3357.84,2024-09-30,2024-10-06
117,Winter Blast,Instagram,Australia,208150,4045,445,1469.83,6510.11,2025-03-19,2025-03-26
118,Spring Promo,Facebook,Australia,399075,2327,91,1457.52,4563.77,2024-07-27,2024-08-06
119,Winter Blast,Google Ads,North America,276954,3918,277,1579.19,10026.7,2024-05-23,2024-05-31
120,Autumn Deals,LinkedIn,Africa,199488,146,109,1976.09,7967.58,2024-08-19,2024-08-31
121,Winter Blast,Google Ads,Asia,372472,1143,108,3685.84,8477.88,2024-09-26,2024-10-11
122,Summer Sale,Twitter,Africa,243191,3442,441,1532.1,3228.7,2024-11-03,2024-11-08
123,Winter Blast,Instagram,Australia,447820,4223,288,4480.24,11421.58,2025-03-01,2025-03-05
124,Summer Sale,Facebook,Europe,116982,1668,18,118.89,4993.0,2025-02-07,2025-02-16
125,Summer Sale,Twitter,South America,183173,4364,192,3732.71,12963.33,2024-06-30,2024-07-07
126,Winter Blast,LinkedIn,South America,318013,2702,430,3923.38,6675.32,2025-01-12,2025-01-18
127,Mega Campaign,Twitter,South America,190445,4904,320,1549.55,5245.2,2025-01-13,2025-01-23
128,Winter Blast,Facebook,South America,314868,282,229,1982.24,3987.55,2024-06-13,2024-06-18
129,Autumn Deals,Facebook,Australia,330600,4896,63,447.25,1551.52,2025-03-16,2025-03-28
130,Autumn Deals,LinkedIn,Asia,398352,2075,234,887.84,10470.94,2025-03-16,2025-03-20
131,Summer Sale,Google Ads,Europe,180583,4967,50,4551.43,8275.12,2025-04-23,2025-04-30
132,Summer Sale,Twitter,Australia,159761,4640,112,395.85,5103.04,2025-02-25,2025-03-06
133,Summer Sale,LinkedIn,Asia,247794,1970,406,4750.4,7148.4,2024-06-21,2024-06-30
134,Mega Campaign,Facebook,South America,452383,4369,75,3519.73,7137.16,2025-02-27,2025-03-03
135,Winter Blast,Instagram,Asia,436964,878,55,2577.4,3023.88,2024-05-23,2024-05-28
136,Winter Blast,Facebook,Australia,63084,2653,348,2457.93,9080.13,2024-12-15,2024-12-25
137,Winter Blast,Google Ads,Europe,121179,1154,252,4765.86,8493.07,2024-05-06,2024-05-14
138,Winter Blast,Twitter,Australia,479601,186,31,176.24,290.75,2024-07-04,2024-07-15
139,Autumn Deals,Twitter,Europe,406539,3916,470,2335.41,8926.17,2024-12-26,2025-01-02
140,Spring Promo,Instagram,North America,397232,929,333,3123.25,12738.02,2024-07-18,2024-08-02
141,Mega Campaign,Twitter,South America,103720,2742,487,2931.92,9894.92,2024-08-01,2024-08-13
142,Winter Blast,Google Ads,South America,405636,4172,483,3598.66,7862.13,2024-07-24,2024-08-04
143,Summer Sale,LinkedIn,North America,136128,1292,496,4278.12,11144.95,2024-08-02,2024-08-05
144,Spring Promo,Facebook,North America,454437,399,140,4677.88,4782.52,2025-02-26,2025-03-09
145,Summer Sale,Twitter,Africa,288239,1576,344,3026.87,8538.68,2024-07-13,2024-07-26
146,Winter Blast,Instagram,Asia,391218,3076,267,2367.19,12360.08,2024-11-02,2024-11-07
147,Autumn Deals,Twitter,Africa,288789,3278,365,322.5,9605.2,2024-10-05,2024-10-15
148,Mega Campaign,LinkedIn,Africa,151193,3269,231,4011.36,7542.56,2024-12-27,2024-12-30
149,Mega Campaign,Facebook,Africa,100668,1249,441,4067.07,9006.82,2025-04-17,2025-04-23
150,Summer Sale,Twitter,Africa,411486,839,351,4511.08,14223.68,2024-07-15,2024-07-21
151,Spring Promo,Facebook,North America,385936,1040,356,314.72,7964.56,2025-04-02,2025-04-06
152,Summer Sale,Twitter,Europe,259031,4632,81,3259.7,7507.22,2024-12-07,2024-12-13
153,Autumn Deals,LinkedIn,Africa,288391,2486,43,4592.99,8305.47,2024-11-24,2024-12-01
154,Summer Sale,Facebook,Europe,367688,5000,330,3415.2,8313.79,2024-09-11,2024-09-15
155,Winter Blast,Instagram,Australia,217328,4869,43,4699.69,11257.6,2024-11-14,2024-11-22
156,Winter Blast,Google Ads,South America,470558,1888,467,888.83,9684.68,2025-04-11,2025-04-14
157,Summer Sale,Facebook,Europe,33288,1869,43,4191.54,5852.78,2024-05-21,2024-05-24
158,Autumn Deals,LinkedIn,Australia,88314,4408,248,265.76,7143.03,2024-10-09,2024-10-18
159,Winter Blast,Google Ads,Europe,254542,1704,178,4297.04,10559.26,2024-06-29,2024-07-06
160,Spring Promo,LinkedIn,Asia,177816,2822,390,2185.51,7499.34,2024-06-23,2024-06-26
161,Spring Promo,Facebook,Europe,111597,1329,314,2882.22,5936.08,2024-07-26,2024-07-30
162,Mega Campaign,Twitter,South America,393345,4683,370,1438.39,4667.85,2024-08-20,2024-08-25
163,Autumn Deals,LinkedIn,Africa,11598,659,292,3311.8,10686.36,2024-05-18,2024-05-31
164,Winter Blast,Instagram,South America,281432,320,203,2632.17,6868.81,2025-01-16,2025-01-24
165,Winter Blast,Google Ads,Australia,426471,3253,142,3855.45,13321.9,2024-07-13,2024-07-28
166,Mega Campaign,LinkedIn,Africa,246714,153,37,2081.75,9102.73,2025-02-09,2025-02-22
167,Mega Campaign,Instagram,North America,46361,2641,16,3769.87,11997.15,2025-03-08,2025-03-16
168,Mega Campaign,Facebook,Africa,293955,2618,153,3991.11,7194.75,2024-06-07,2024-06-16
169,Autumn Deals,Google Ads,Europe,382006,3609,63,4135.57,9318.78,2025-03-29,2025-04-01
170,Spring Promo,Twitter,South America,15363,348,21,1811.64,5466.79,2025-01-20,2025-02-02
171,Winter Blast,Google Ads,North America,114789,3830,18,2281.78,9419.22,2025-04-25,2025-05-01
172,Autumn Deals,LinkedIn,Africa,330869,4476,499,3656.54,10383.62,2024-12-29,2025-01-11
173,Winter Blast,Instagram,South America,443561,4110,360,4576.88,8194.15,2024-12-11,2024-12-23
174,Autumn Deals,Instagram,Asia,236481,4229,252,1405.18,8820.44,2024-09-06,2024-09-17
175,Mega Campaign,Instagram,Australia,447084,338,70,1037.06,5073.68,2024-12-19,2024-12-24
176,Spring Promo,Facebook,Africa,68914,4891,319,630.68,2315.85,2024-12-12,2024-12-22
177,Mega Campaign,Facebook,North America,99493,4848,454,1786.82,11014.87,2024-10-16,2024-10-21
178,Autumn Deals,Twitter,Europe,187860,1999,418,1566.9,6786.92,2024-08-18,2024-08-31
179,Mega Campaign,LinkedIn,Africa,65843,2606,192,4828.91,11645.1,2024-10-08,2024-10-12
180,Autumn Deals,Twitter,Europe,159454,699,391,566.74,10251.09,2024-07-03,2024-07-10
181,Autumn Deals,Twitter,Asia,36760,4323,342,4188.38,5147.37,2025-01-06,2025-01-11
182,Summer Sale,Twitter,North America,171546,2790,391,2023.51,8163.13,2025-03-19,2025-03-29
183,Winter Blast,Instagram,North America,118882,4169,410,3738.98,11080.53,2025-01-19,2025-01-26
184,Mega Campaign,Twitter,Europe,413926,3098,197,1180.31,2543.79,2025-04-23,2025-05-06
185,Winter Blast,Facebook,Africa,236033,3466,161,4136.09,7356.32,2024-07-19,2024-07-27
186,Summer Sale,Google Ads,Asia,470557,261,111,815.35,9969.48,2025-03-31,2025-04-10
187,Mega Campaign,Facebook,Australia,37696,3884,318,4515.87,5761.77,2024-10-31,2024-11-12
188,Winter Blast,Facebook,Europe,472491,4073,157,3736.9,5255.4,2024-11-01,2024-11-08
189,Spring Promo,Facebook,South America,233024,2911,158,2691.02,9196.64,2025-01-28,2025-02-03
190,Autumn Deals,Facebook,South America,210178,1722,193,724.47,2665.83,2024-06-09,2024-06-17
191,Winter Blast,Facebook,North America,3814,1965,142,606.42,9177.27,2024-06-17,2024-06-21
192,Summer Sale,Google Ads,North America,172131,472,244,1672.09,8708.34,2024-07-18,2024-07-29
193,Autumn Deals,Facebook,Europe,421317,4186,93,4613.29,14272.91,2024-08-20,2024-09-02
194,Summer Sale,Twitter,Europe,158652,1440,45,3026.75,10985.14,2025-01-23,2025-02-05
195,Spring Promo,LinkedIn,Asia,152916,3274,91,4509.93,13259.18,2024-09-30,2024-10-09
196,Summer Sale,Instagram,Asia,33388,4999,485,1638.04,2317.75,2025-03-12,2025-03-15
197,Summer Sale,LinkedIn,Asia,171041,2722,191,2233.51,2360.91,2025-04-18,2025-04-30
198,Winter Blast,LinkedIn,Australia,41328,4742,341,4662.61,12250.05,2024-12-03,2024-12-06
199,Spring Promo,Google Ads,North America,370385,4533,414,4781.12,9425.09,2024-10-22,2024-10-25
200,Autumn Deals,Facebook,South America,253369,2996,192,4689.87,5167.1,2024-08-07,2024-08-15
201,Winter Blast,Facebook,Africa,52440,379,304,2534.02,9826.48,2024-08-07,2024-08-20
202,Winter Blast,Google Ads,North America,347845,151,86,3862.74,4649.84,2024-09-24,2024-10-06
203,Spring Promo,LinkedIn,Australia,269679,4275,39,3182.57,10404.75,2024-12-05,2024-12-09
204,Summer Sale,Instagram,Australia,124965,4783,437,3838.32,12312.75,2024-10-04,2024-10-15
205,Winter Blast,Google Ads,Europe,172328,1515,35,2031.92,9076.95,2024-12-12,2024-12-21
206,Autumn Deals,Twitter,Australia,164962,3586,126,4733.7,14518.48,2025-02-02,2025-02-08
207,Spring Promo,Facebook,North America,238942,3015,387,1771.34,6994.42,2024-10-30,2024-11-09
208,Autumn Deals,Google Ads,North America,53685,3604,45,520.37,2810.53,2025-03-28,2025-04-09
209,Winter Blast,LinkedIn,Africa,489919,4317,112,1703.02,6183.1,2024-11-06,2024-11-18
210,Winter Blast,LinkedIn,Africa,427120,1567,398,3760.38,13587.77,2025-01-15,2025-01-22
211,Winter Blast,Instagram,Asia,158914,1058,432,2897.22,7791.85,2024-09-13,2024-09-19
212,Mega Campaign,Google Ads,Europe,228904,2799,428,2167.4,8976.5,2024-10-28,2024-11-02
213,Summer Sale,LinkedIn,Europe,200517,670,91,3032.21,12095.95,2025-01-20,2025-01-25
214,Spring Promo,Twitter,Europe,352174,2465,66,2536.51,10164.93,2024-06-20,2024-06-30
215,Winter Blast,Instagram,Australia,148805,3495,57,4011.69,6661.71,2024-10-28,2024-11-05
216,Spring Promo,Instagram,Europe,432115,1722,428,1773.78,7853.02,2024-10-07,2024-10-14
217,Mega Campaign,Facebook,Australia,441153,3713,156,4322.21,9514.7,2024-06-10,2024-06-18
218,Summer Sale,Facebook,Europe,381499,261,166,1595.77,6718.48,2025-01-01,2025-01-12
219,Mega Campaign,Instagram,Australia,162784,870,289,2043.93,6155.94,2024-05-29,2024-06-07
220,Summer Sale,Instagram,North America,102865,3910,210,2236.19,3417.26,2025-03-26,2025-04-04
221,Spring Promo,Google Ads,Africa,216075,2238,51,3615.83,5447.53,2025-03-14,2025-03-21
222,Summer Sale,Google Ads,Africa,495847,2431,466,3043.04,6872.99,2024-12-05,2024-12-08
223,Spring Promo,LinkedIn,Africa,477986,3160,379,3519.72,7311.78,2024-12-09,2024-12-23
224,Autumn Deals,Instagram,Europe,229091,3075,185,782.45,3293.5,2024-11-15,2024-11-30
225,Spring Promo,LinkedIn,Australia,425605,1423,119,146.1,8015.98,2024-10-15,2024-10-29
226,Spring Promo,Google Ads,Africa,180249,3374,166,4380.52,10549.16,2024-08-17,2024-08-28
227,Summer Sale,Instagram,North America,290164,3850,466,2037.18,11422.45,2024-11-24,2024-12-04
228,Autumn Deals,Facebook,South America,181776,4140,111,2700.04,3915.07,2024-09-04,2024-09-17
229,Mega Campaign,LinkedIn,Africa,135318,2134,30,3463.36,11508.01,2024-07-30,2024-08-11
230,Autumn Deals,Facebook,Africa,195830,4293,60,4137.79,6860.14,2025-02-28,2025-03-15
231,Mega Campaign,LinkedIn,Europe,43331,458,312,980.92,5481.94,2025-01-26,2025-02-01
232,Mega Campaign,Instagram,North America,465169,1704,382,2963.47,7054.57,2025-01-12,2025-01-24
233,Winter Blast,LinkedIn,Australia,102705,2792,192,2844.33,11374.05,2024-10-23,2024-10-29
234,Mega Campaign,Google Ads,South America,452397,1986,55,391.03,8268.22,2024-07-31,2024-08-05
235,Mega Campaign,Twitter,North America,28727,3959,248,4224.04,4576.22,2024-07-28,2024-07-31
236,Mega Campaign,LinkedIn,Australia,255194,4244,305,2666.52,5334.48,2025-03-11,2025-03-14
237,Winter Blast,Twitter,South America,38541,3745,227,3069.76,4309.32,2024-05-30,2024-06-08
238,Spring Promo,LinkedIn,North America,8663,2653,176,3213.59,6903.31,2024-06-08,2024-06-21
239,Autumn Deals,Google Ads,Africa,498978,4218,441,4468.07,13258.21,2024-05-23,2024-05-26
240,Spring Promo,Twitter,Asia,207577,1253,365,270.41,1621.72,2025-03-01,2025-03-08
241,Winter Blast,Instagram,Europe,98327,939,189,1539.14,10119.14,2024-12-02,2024-12-10
242,Summer Sale,Instagram,North America,84218,786,498,4473.72,7227.44,2025-01-22,2025-01-26
243,Winter Blast,LinkedIn,North America,381628,328,109,1878.15,8273.46,2025-02-03,2025-02-11
244,Summer Sale,Twitter,Australia,189744,4897,102,3374.67,4462.43,2025-01-17,2025-01-22
245,Summer Sale,Facebook,Africa,215124,3297,96,4783.5,14032.27,2024-07-10,2024-07-23
246,Mega Campaign,LinkedIn,Europe,477740,1069,82,2889.6,9434.48,2024-05-24,2024-06-05
247,Autumn Deals,LinkedIn,Europe,5808,4118,168,876.56,2292.33,2025-03-13,2025-03-22
248,Summer Sale,Facebook,South America,103333,1355,450,4895.8,10935.9,2024-05-21,2024-06-03
249,Mega Campaign,LinkedIn,Asia,114976,2888,15,3050.18,7668.8,2024-11-09,2024-11-18
250,Summer Sale,Twitter,Europe,480534,3322,341,3768.44,8264.57,2025-02-15,2025-02-21
251,Mega Campaign,LinkedIn,Australia,309069,1973,396,3350.92,12199.05,2024-11-16,2024-12-01
252,Summer Sale,Twitter,North America,254747,2419,476,2314.44,9465.16,2025-03-12,2025-03-22
253,Summer Sale,Google Ads,North America,301473,4888,364,3639.27,13244.18,2024-09-24,2024-10-08
254,Winter Blast,Instagram,Australia,480875,3592,88,4660.67,11176.16,2024-10-23,2024-11-03
255,Summer Sale,Twitter,North America,112546,1981,216,3885.51,7420.56,2024-08-09,2024-08-15
256,Winter Blast,Twitter,North America,368319,4069,279,3116.37,11479.83,2024-12-24,2025-01-05
257,Winter Blast,Instagram,Asia,456812,3083,151,450.46,8294.62,2025-01-10,2025-01-17
258,Summer Sale,Twitter,Australia,4397,2714,27,3865.34,6755.39,2024-10-05,2024-10-15
259,Summer Sale,Facebook,Australia,110590,2000,149,4439.5,7721.14,2024-11-07,2024-11-20
260,Autumn Deals,Instagram,South America,114218,3040,278,2819.95,5666.82,2024-09-11,2024-09-23
261,Mega Campaign,Instagram,Africa,389571,4495,354,2195.1,11239.84,2024-10-16,2024-10-29
262,Winter Blast,Google Ads,Europe,271822,262,185,3478.08,5910.16,2024-12-04,2024-12-10
263,Summer Sale,Twitter,Africa,233131,4729,384,907.55,9943.13,2024-12-06,2024-12-21
264,Winter Blast,Instagram,North America,245006,860,482,4669.27,10449.04,2024-09-24,2024-10-07
265,Autumn Deals,Facebook,Australia,14836,1617,349,3546.12,4489.79,2024-07-03,2024-07-10
266,Autumn Deals,Twitter,Africa,140728,2023,21,145.57,6919.66,2024-07-10,2024-07-23
267,Summer Sale,Facebook,Africa,92676,714,366,1727.64,2023.1,2024-11-01,2024-11-04
268,Winter Blast,Google Ads,Europe,189120,2505,92,2550.58,10409.29,2024-10-02,2024-10-05
269,Mega Campaign,Twitter,South America,188886,287,243,3930.59,11533.33,2025-01-14,2025-01-18
270,Autumn Deals,Facebook,Africa,494553,2717,165,2288.43,9210.02,2025-05-02,2025-05-15
271,Autumn Deals,Instagram,Europe,275298,4214,78,3678.1,3998.01,2024-06-30,2024-07-08
272,Summer Sale,Instagram,North America,255927,2117,456,1793.13,9983.72,2025-03-30,2025-04-03
273,Winter Blast,Twitter,South America,65685,2139,449,2764.91,9861.1,2024-11-21,2024-12-04
274,Summer Sale,Google Ads,Asia,1413,899,29,914.17,8935.89,2024-11-29,2024-12-11
275,Autumn Deals,Instagram,Asia,84621,1493,350,114.55,2188.09,2024-12-17,2024-12-20
276,Winter Blast,Instagram,Africa,248884,1327,475,4484.4,13245.75,2024-12-03,2024-12-07
277,Winter Blast,Instagram,Australia,239222,3683,55,1989.64,9120.42,2025-01-03,2025-01-16
